step,vehicle_id,x_position,y_position,speed,lane_index
0,2158218567328,227.66660533780924,4.0,25.0,1
0,2158218566848,240.3332535012315,0.0,22.539839889270365,0
0,2158218566944,255.0992677987172,4.0,23.566751237190065,1
0,2158218568816,269.5864612117194,4.0,22.34602244198977,1
0,2158218566992,284.03803031722725,0.0,22.85205911486762,0
0,2158218568864,299.28220076779775,4.0,23.76284238706322,1
0,2158218566416,313.8161362718812,4.0,22.634599325020755,1
0,2158218566896,326.0494045394047,4.0,22.306886523760294,1
0,2158218566464,339.23038626674276,0.0,21.40844518969658,0
0,2158218566800,353.5857005015803,4.0,23.273939733192208,1
0,2158218569296,365.9570830516754,4.0,21.30071371960111,1
0,2158218569200,377.78023211992644,0.0,21.25888617754858,0
0,2158218568336,391.10139525787594,0.0,22.305849597079582,0
0,2158218569392,404.4467383100809,4.0,22.18638719169207,1
0,2158218569584,418.30346198787544,0.0,22.08638315354023,0
0,2158218569488,430.00675358678757,0.0,21.340049477018727,0
0,2158218566128,442.9198069841434,0.0,22.903825149144055,0
0,2158218567904,455.5568887684178,0.0,21.079126658840252,0
0,2158218567568,468.77299747377407,0.0,22.78942605883306,0
0,2158218568768,482.1403309779982,0.0,21.03710574538007,0
0,2158218569632,495.86764889762077,0.0,22.670804678573543,0
0,2158218569680,509.7194323216305,4.0,21.751680577329676,1
0,2158218566704,523.9636165565888,0.0,21.26623370394148,0
0,2158218566272,537.7168957330741,4.0,21.45390005817881,1
0,2158218568480,551.4456487833733,0.0,21.724411189992022,0
0,2158218568144,566.1677070009835,4.0,23.836196597340507,1
0,2158218569776,580.5894329321803,0.0,22.893983356996777,0
0,2158218566176,595.2573356349454,4.0,23.412397710478402,1
0,2158218569104,608.2926211648212,0.0,23.89763214814777,0
0,2158218569536,620.9933817471085,0.0,23.354056609027616,0
0,2158218568384,634.2180439963973,0.0,23.27006877763057,0
0,2158218569008,649.1209221875735,0.0,22.904378079468017,0
0,2158218566560,662.6105606618607,4.0,23.299618567715665,1
0,2158218568432,676.3301623258646,0.0,21.930641322151352,0
0,2158218568624,688.6749629188072,0.0,22.900594229090682,0
0,2158218567952,702.6340510398306,4.0,23.199267914325375,1
0,2158218568096,716.5103370426772,0.0,21.9053283493502,0
0,2158218569152,729.4135720743946,0.0,21.247341720941268,0
0,2158218566320,741.0656013137979,0.0,21.016480934982013,0
0,2158218568720,754.6552166227909,4.0,22.37986807803285,1
0,2158218566512,767.9344372031395,0.0,23.6129252828356,0
