step,vehicle_id,x_position,y_position,speed,lane_index
0,1391235665392,265.3874117149077,0.0,17.61575140878839,0
0,1391235664720,276.9724208675476,0.0,16.53324119354533,0
0,1391235664912,288.57889247848294,0.0,18.656538409885652,0
0,1391235665008,298.6162270917135,4.0,15.426451119194645,1
0,1391235666736,311.4662646047301,4.0,17.047287009810525,1
0,1391235665056,322.22152485910266,0.0,18.43685283913487,0
0,1391235666256,334.4489328228827,4.0,17.085522155491056,1
0,1391235664480,347.4165328774624,4.0,20.538026527372743,1
0,1391235664960,357.2501348097762,0.0,16.30078039382228,0
0,1391235664528,368.536066842254,0.0,15.757196614321161,0
0,1391235664864,380.83595158902574,0.0,16.498486082240316,0
0,1391235667264,393.4521696357936,0.0,18.48974578602453,0
0,1391235664288,403.7353018684931,4.0,16.109518244551722,1
0,1391235666928,417.1220443854406,4.0,19.32692577179503,1
0,1391235667360,426.6347273039411,0.0,16.079529376545388,0
0,1391235667552,440.48367426537317,0.0,20.182130500957307,0
0,1391235667456,453.0956834039376,4.0,17.820753099476278,1
0,1391235664192,463.6525835614793,4.0,16.722973638583966,1
0,1391235667216,477.49265385957585,4.0,20.501951129580334,1
0,1391235665632,489.9243136697941,0.0,17.857201186435173,0
0,1391235666160,501.14520920120486,0.0,17.526845565414128,0
0,1391235667600,515.1644600269465,4.0,20.59178827971117,1
0,1391235667648,525.6075971959059,0.0,16.735439257056328,0
0,1391235664768,537.6459150671486,0.0,15.853508856154777,0
0,1391235664336,552.011270086077,0.0,17.80610576884737,0
0,1391235666544,563.2984560903794,4.0,18.558049790853605,1
0,1391235666784,576.0624016308673,0.0,17.773166461596304,0
0,1391235667744,590.3184484507252,4.0,20.37061817614289,1
0,1391235664240,599.2911887134483,0.0,15.181887920543366,0
0,1391235667072,612.849272570101,0.0,17.249214073501985,0
0,1391235667504,627.9476039540363,4.0,17.918161668718597,1
0,1391235666400,640.346719858129,0.0,19.29932317989643,0
0,1391235666448,651.2763395273007,4.0,15.605917862697522,1
0,1391235664624,665.7313149702927,4.0,18.848905057687613,1
0,1391235666976,677.8955197221816,0.0,17.746691347420704,0
0,1391235666688,689.5042034675487,0.0,17.654633306701378,0
0,1391235665968,701.9044919978619,4.0,18.782784491772354,1
0,1391235666112,712.2673927246325,0.0,16.204687876541005,0
0,1391235666640,725.2179400731765,0.0,20.32646904720801,0
0,1391235664384,736.1525164603081,4.0,16.776228648691987,1
0,1391235666064,745.9344960165078,4.0,15.650156770789296,1
0,1391235664576,759.5615142184608,4.0,17.575923963571466,1
0,1391235666880,772.3653736317759,4.0,19.823961422270582,1
0,1391235666304,782.9646108868404,0.0,15.421222471777355,0
0,1391235667312,795.5649397032785,0.0,16.660058984277363,0
0,1391235666208,807.6377255403316,0.0,19.164431906169742,0
0,1391235667792,819.7749987775168,4.0,16.98282981014769,1
0,1391235667840,833.2841073699012,4.0,20.427977740012395,1
0,1391235667888,845.0293834655544,0.0,17.58208106527305,0
0,1391235667936,858.7022417875078,0.0,17.633410715560093,0
0,1391235667984,873.2826774034752,4.0,21.567279224554863,1
0,1391235668032,882.4702380191773,0.0,15.341899187314318,0
0,1391235668080,895.9736290479054,0.0,16.71398308560315,0
0,1391235668128,909.1277588597123,0.0,16.982872526220998,0
0,1391235668176,919.562038736039,0.0,16.040610350100593,0
0,1391235668224,934.2719406638664,0.0,20.814636108858625,0
0,1391235668272,944.6917098595233,4.0,16.898501466488458,1
0,1391235668320,957.9830271266444,4.0,17.528398740857597,1
0,1391235668368,969.7807211641843,4.0,21.08889265847261,1
0,1391235668416,982.8878339025496,0.0,22.657035679554397,0
0,1391235665248,254.6164766190116,4.0,21.118814358871923,1
1,1391235665392,280.2031631236961,0.0,11.615751408788393,0
1,1391235664720,290.81641036181753,0.0,11.468698282639153,0
1,1391235664912,306.205632392994,0.0,16.567443265758225,0
1,1391235665008,311.2629223773837,4.0,9.755096100536555,1
1,1391235666736,325.9623138180404,4.0,12.329487786275255,1
1,1391235665056,339.25768738180125,0.0,15.374155924075813,0
1,1391235666256,349.2048851798319,4.0,13.174073711022018,1
1,1391235664480,367.094341532449,4.0,18.66979450907734,1
1,1391235664960,370.7509152035985,0.0,10.300780393822274,0
1,1391235664528,381.49326345657516,0.0,9.757196614321156,0
1,1391235664864,394.62727034122224,0.0,11.298038467613885,0
1,1391235667264,410.3847234497931,0.0,15.36761612194755,0
1,1391235664288,417.4847188821118,4.0,12.020354466802686,1
1,1391235666928,435.07006736308927,4.0,16.32400868642358,1
1,1391235667360,440.73583733423277,0.0,12.896435345082125,0
1,1391235667552,459.7694109555963,0.0,18.16093492819021,0
1,1391235667456,468.1164365034139,4.0,11.82075309947628,1
1,1391235664192,478.2733644995575,4.0,13.335231863064076,1
1,1391235667216,497.1794767129833,4.0,18.91374732250801,1
1,1391235665632,504.9815148562293,0.0,11.857201186435175,0
1,1391235666160,516.5256426598518,0.0,13.17859016208173,0
1,1391235667600,534.9824562962459,4.0,19.012474579063188,1
1,1391235667648,539.5430364529623,0.0,10.735439257056324,0
1,1391235664768,550.8901298366445,0.0,10.964087872632632,0
1,1391235664336,567.7490818372524,0.0,13.668717301714334,0
1,1391235666544,580.7212664450515,4.0,16.33041180773618,1
1,1391235666784,591.1168855449747,0.0,12.366198727689138,0
1,1391235667744,609.2060742499294,4.0,17.19932306255344,1
1,1391235664240,612.0546839200634,0.0,11.0144665113507,0
1,1391235667072,629.2430368191707,0.0,15.572522821769638,0
1,1391235667504,643.2377999737201,4.0,12.867062796120706,1
1,1391235666400,658.4069381049983,0.0,16.567854889917594,0
1,1391235666448,664.8395187558405,4.0,12.277713954621952,1
1,1391235664624,683.6927006031697,4.0,17.016195910065797,1
1,1391235666976,692.8422110696023,0.0,11.746691347420706,0
1,1391235666688,704.6371203194293,0.0,12.906693894077911,0
1,1391235665968,719.1673644350893,4.0,15.495858902400538,1
1,1391235666112,726.3617897561147,0.0,12.78849098063162,0
1,1391235666640,744.6432748995311,0.0,18.285862737529445,0
1,1391235664384,750.1287451090001,4.0,10.776228648691983,1
1,1391235666064,758.838301306584,4.0,10.205213844702465,1
1,1391235664576,774.508924210246,4.0,12.748708615832015,1
1,1391235666880,791.200407138943,4.0,17.736189369701876,1
1,1391235666304,795.5877714302569,0.0,9.523807122798965,0
1,1391235667312,809.5643405964036,0.0,11.678407288350455,0
1,1391235666208,825.5131561066079,0.0,16.340669532383824,0
