step,time_sec,vehicle_id,x_position,speed,lane_index,is_controlled,crashed
0,0.0,2690269374656,228.42950517701286,25.0,1,True,False
0,0.0,2690269373072,241.81801969296762,23.111028148287176,1,False,False
0,0.0,2690269374704,255.07864531954402,21.281595924062596,0,False,False
0,0.0,2690269374752,269.2672155523578,22.077613142503154,0,False,False
0,0.0,2690269377776,282.20467895120294,21.82874396228215,1,False,False
0,0.0,2690269376192,295.1070713745556,21.001806571374633,1,False,False
0,0.0,2690269376000,307.5373282345629,21.55853924199556,1,False,False
0,0.0,2690269377392,320.93535599785287,22.802873313613198,0,False,False
0,0.0,2690269373600,333.5234408860774,22.816107149733977,1,False,False
0,0.0,2690269375424,345.85666517670415,21.673426333363132,0,False,False
0,0.0,2690269376864,358.7209664459652,21.386994614735478,1,False,False
0,0.0,2690269377680,373.72007970981684,23.813872970594375,0,False,False
0,0.0,2690269377632,388.4411362566912,23.173586301232177,0,False,False
0,0.0,2690269375472,402.94024255062567,22.545339475929698,1,False,False
0,0.0,2690269377008,417.96503986659525,23.516996843114303,1,False,False
0,0.0,2690269375520,430.8460068620816,21.83745050320657,0,False,False
0,0.0,2690269377200,443.45416155237655,21.17968982831656,1,False,False
0,0.0,2690269377872,457.21063876769676,23.85714832618298,0,False,False
0,0.0,2690269376144,469.47782326158796,22.95810281665721,0,False,False
0,0.0,2690269377920,482.580260487337,22.289548326055556,0,False,False
0,0.0,2690269375136,496.126185874849,21.588345726826677,0,False,False
0,0.0,2690269375808,549.123910836675,25.0,0,True,False
0,0.0,2690269375616,562.6265610930125,23.390657408480003,0,False,False
0,0.0,2690269376672,575.5261266769991,21.00883514539446,0,False,False
0,0.0,2690269376528,587.719203735113,21.214428930079034,0,False,False
0,0.0,2690269374992,599.608579826324,21.124622483439882,0,False,False
0,0.0,2690269377440,611.6914523076313,21.82025857486854,1,False,False
0,0.0,2690269376720,626.4906473553717,23.824292682979745,0,False,False
0,0.0,2690269375328,640.7399403083565,22.06178428981417,0,False,False
0,0.0,2690269376768,654.8632455812685,21.822270191863527,0,False,False
0,0.0,2690269375088,667.1992763028112,23.194661453202762,1,False,False
0,0.0,2690269378160,680.5019097758684,23.600076324653543,0,False,False
0,0.0,2690269375952,695.5145455792161,23.404176833354732,0,False,False
0,0.0,2690269375760,708.5987268671072,21.136965661279604,1,False,False
0,0.0,2690269378064,721.1785109472436,23.875333642465133,0,False,False
0,0.0,2690269377104,735.0536432006735,23.34053432046957,0,False,False
0,0.0,2690269375568,747.425157334667,22.722507189808947,1,False,False
0,0.0,2690269376240,762.0992165627665,22.631579915706176,0,False,False
0,0.0,2690269374944,776.0768510328513,22.25653058631151,1,False,False
0,0.0,2690269377056,788.9973905040173,21.350045811703282,1,False,False
0,0.0,2690269375232,803.2535455894055,21.60619818446323,0,False,False
0,0.0,2690269377152,816.3878573096722,23.537763974435475,0,False,False
0,0.0,2690269376432,877.6152746165216,25.0,0,True,False
0,0.0,2690269375040,890.7565159890057,23.450239201873146,0,False,False
0,0.0,2690269375904,905.3746863912806,22.494903519342067,1,False,False
0,0.0,2690269376960,918.6616617474319,21.925218664373546,1,False,False
0,0.0,2690269378256,931.9453299961874,23.342376991822682,1,False,False
