step,time_sec,vehicle_id,x_position,speed,lane_index,is_controlled,crashed
0,0.0,2690230209216,232.96518813625593,25.0,0,True,False
0,0.0,2690230209408,246.04673215558745,21.551364858753693,0,False,False
0,0.0,2690230209360,260.7575143838699,22.611934057777333,0,False,False
0,0.0,2690230209072,272.58478829211725,21.520692565512075,1,False,False
0,0.0,2690230209840,287.07549839819194,21.954968540876017,1,False,False
0,0.0,2690230209792,300.10607974153714,21.881254602047832,0,False,False
0,0.0,2690230210992,312.4705613023121,21.880725203930425,1,False,False
0,0.0,2690230211520,325.55618467038494,21.477435907851994,1,False,False
0,0.0,2690230208688,339.8049138148595,23.2620719572204,1,False,False
0,0.0,2690230210416,353.2204427150651,22.426561371376913,1,False,False
0,0.0,2690230209600,367.29883424329563,22.187040890739077,0,False,False
0,0.0,2690230211088,381.34392609072125,22.939405790275913,1,False,False
0,0.0,2690230208304,394.5308947059539,21.747697131228506,0,False,False
0,0.0,2690230209744,408.2175906094176,21.24839240617451,0,False,False
0,0.0,2690230209120,422.0551358439324,21.61832597188672,1,False,False
0,0.0,2690230209552,436.9443234415692,23.106008286388658,0,False,False
0,0.0,2690230210848,450.13122799479146,22.118007216734416,1,False,False
0,0.0,2690230208448,464.2093321643623,21.665965210416136,1,False,False
0,0.0,2690230211376,476.59782126135394,22.40226496591295,1,False,False
0,0.0,2690230208736,490.6503993456596,21.828807568803487,1,False,False
0,0.0,2690230208880,503.62909423904114,23.212435845164688,1,False,False
0,0.0,2690230208976,516.3051779192363,22.84211576251765,1,False,False
0,0.0,2690230211184,530.158652713901,21.100000050172568,1,False,False
0,0.0,2690230209024,544.5118841011134,22.680610122136567,0,False,False
0,0.0,2690230210032,558.0406827215451,22.209408951438537,0,False,False
0,0.0,2690230208496,571.0003791647733,22.356811655580838,0,False,False
0,0.0,2690230208928,584.2621308847538,21.978793356462027,1,False,False
0,0.0,2690230208544,598.582833237268,21.516726767265997,1,False,False
0,0.0,2690230208832,613.5047569760322,23.814975847145256,1,False,False
0,0.0,2690230211136,627.5516585824107,22.869017993910532,0,False,False
0,0.0,2690230211040,641.1610883688089,21.782701577240122,0,False,False
0,0.0,2690230211328,654.6007504765055,23.264512439942223,0,False,False
0,0.0,2690230211232,666.743861343757,21.537165144274077,1,False,False
0,0.0,2690230211424,680.4619376595949,23.77871705840152,1,False,False
0,0.0,2690230210272,693.3562208789767,23.747455909477655,1,False,False
0,0.0,2690230208208,706.1906098133927,21.855085509010806,1,False,False
0,0.0,2690230210704,719.0373769951639,22.524002816803403,1,False,False
0,0.0,2690230210560,731.5703333626687,22.813750400259917,1,False,False
0,0.0,2690230211280,744.590418899917,23.000112823821212,0,False,False
0,0.0,2690230211472,759.159245537891,22.699868844547357,0,False,False
0,0.0,2690230210128,772.4493571158521,22.53908598905418,1,False,False
0,0.0,2690230208784,784.5894918682754,21.9024072655806,0,False,False
0,0.0,2690230208352,797.6536378564601,21.37027066362316,0,False,False
0,0.0,2690230210512,812.4247366808677,22.602806421602203,0,False,False
0,0.0,2690230210080,827.3909408229919,23.506667514946955,0,False,False
0,0.0,2690230211568,839.709219688308,21.83914109773095,0,False,False
0,0.0,2690230208256,852.4462696196671,21.198636551727322,0,False,False
0,0.0,2690230210464,864.2881342923262,21.241371712205023,1,False,False
0,0.0,2690230210224,876.9366957251309,22.16898471216223,0,False,False
0,0.0,2690230210320,890.6203133168607,22.101271147445193,1,False,False
0,0.0,2690230210800,904.3361832431574,23.98961897229718,1,False,False
0,0.0,2690230208640,917.4806678704362,21.035833796077437,1,False,False
0,0.0,2690230210896,929.2548573925518,21.00302252906226,1,False,False
0,0.0,2690230210656,942.3026299504343,23.431057918767006,1,False,False
0,0.0,2690230209936,955.8533531545484,22.413992972901816,1,False,False
0,0.0,2690230209696,969.764593291115,22.279647564989208,1,False,False
0,0.0,2690230210608,984.1608926408613,22.667408845020596,1,False,False
0,0.0,2690230208400,997.0236017020378,22.924371712194166,0,False,False
0,0.0,2690230210752,1009.5023505747265,22.98160744676903,0,False,False
0,0.0,2690230208592,1022.101066675169,23.175010397841458,1,False,False
0,0.0,2690230209984,1033.9182700693648,21.476504231220897,0,False,False
1,0.2,2690230209216,237.9651881362559,25.0,0,True,False
1,0.2,2690230209408,250.21621445299837,20.351364858753698,0,False,False
1,0.2,2690230209360,265.2265386627649,21.851795284501492,0,False,False
1,0.2,2690230209072,276.8089268052197,20.32069256551208,1,False,False
