penetration_rate,episodes,controlled_count_mean,avg_speed_mean,avg_speed_std,throughput_mean,throughput_std,crashed_count_mean
0,10,0.0,15.961157492381346,1.4568019473038578,3.9,1.5951314818673865,0.0
5,10,3.0,14.758667699141512,0.8278671372739173,6.6,1.4298407059684812,0.0
10,10,6.0,15.930402239317866,1.9814758720389753,6.8,4.661902329879224,0.0
