penetration_rate,episodes,avg_speed_mean,avg_speed_std,throughput_mean,throughput_std,lane_change_mean,lane_change_std,hard_brake_mean,hard_brake_std,congestion_time_mean,congestion_time_std,crashed_count_mean
0,10,17.33418972678252,1.2404039663860997,2.8,1.0327955589886444,1.0,0.9428090415820634,396.8,69.6304531078177,0.0,0.0,2.0
5,10,14.955666245913793,0.6818270290177548,6.3,1.636391694484477,4.0,2.4037008503093262,458.3,20.3800010903936,0.0,0.0,3.4
10,10,15.867461939061565,2.1704510885359922,6.7,4.3982319680121975,6.9,5.216427044549853,466.8,142.7186821065211,0.0,0.0,7.2
